Geneid,CZ_in vitro_1,CZ_in vitro_2,CZ_in vitro_3,CZ_0dpi_1,CZ_0dpi_2,CZ_0dpi_3,CZ_1dpi_1,CZ_1dpi_2,CZ_1dpi_3,CZ_3dpi_1,CZ_3dpi_2,CZ_3dpi_3,CZ_6dpi_1,CZ_6dpi_2,CZ_6dpi_3
KAM3417427.1,1622,825,1439,2,0,0,6,10,2,7,10,12,2,4,4
KAM3417428.1,2192,1595,2043,2,4,0,4,8,29,12,7,6,16,24,30
KAM3417429.1,250,165,437,0,0,0,2,2,0,0,8,4,4,0,2
KAM3417430.1,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417431.1,58,30,32,0,0,0,0,0,0,0,0,2,0,0,0
KAM3417432.1,609,394,550,0,0,0,2,8,6,5,2,10,0,6,8
KAM3417433.1,77,73,132,0,0,0,16,12,18,6,16,10,8,12,6
KAM3417434.1,63,76,104,0,0,3,4,2,0,4,0,4,2,12,6
KAM3417435.1,347,396,467,0,0,0,2,1,8,6,4,8,10,6,8
KAM3417436.1,707,1008,761,23,20,12,18,36,11,37,86,82,57,36,76
KAM3417437.1,606,497,351,2,0,0,0,4,1,5,0,1,3,2,0
KAM3417438.1,7639,5861,9600,31,20,30,24,33,25,45,55,48,58,65,82
KAM3417439.1,1092,892,1121,4,4,18,10,11,10,4,14,8,16,14,20
KAM3417440.1,74,89,242,3,4,0,0,0,0,0,0,0,2,0,0
KAM3417441.1,3121,2919,2734,2,4,12,11,8,4,12,14,10,14,20,33
KAM3417442.1,7772,7510,7983,18,8,3,12,17,12,15,18,12,49,52,56
KAM3417443.1,141,132,258,0,0,0,4,2,0,0,0,0,0,0,0
KAM3417444.1,28,55,43,0,0,12,0,0,0,0,0,2,0,0,0
KAM3417445.1,10,14,24,0,0,0,2,2,0,0,2,0,2,0,0
KAM3417446.1,320,428,315,0,4,0,4,2,7,8,8,27,6,4,8
KAM3417447.1,49,45,70,0,0,0,0,1,4,2,10,4,2,2,1
KAM3417448.1,165,89,248,0,0,0,2,1,2,0,3,5,3,2,4
KAM3417449.1,217,266,290,2,4,0,0,0,0,0,0,2,4,2,8
KAM3417450.1,504,332,438,2,0,0,3,2,4,2,8,5,2,6,10
KAM3417451.1,118,76,860,0,0,0,0,0,0,0,2,0,6,4,14
KAM3417452.1,240,296,250,0,0,0,0,0,2,2,2,0,2,0,2
KAM3417453.1,3555,3729,2992,28,16,15,12,31,17,32,42,19,48,33,68
KAM3417454.1,135,95,139,0,0,0,3,0,2,0,2,4,0,6,6
KAM3417455.1,3,2,35,0,0,0,0,2,0,0,0,0,0,0,0
KAM3417456.1,370,258,561,2,0,6,4,3,5,4,6,6,41,48,22
KAM3417457.1,806,423,393,0,0,0,0,8,0,0,2,4,2,6,6
KAM3417458.1,20,20,36,0,0,0,0,2,1,0,0,0,0,0,0
KAM3417460.1,40,68,65,0,0,0,0,0,0,0,0,0,2,1,0
KAM3417461.1,1709,1265,1423,11,16,0,18,16,18,15,13,38,29,35,47
KAM3417462.1,34843,30614,35404,174,64,192,245,285,428,242,204,228,330,342,382
KAM3417463.1,1083,773,1140,0,0,0,4,6,2,10,0,0,10,10,2
KAM3417464.1,12864,10650,13709,40,24,36,23,44,62,65,36,54,156,158,187
KAM3417465.1,114,80,159,2,0,0,0,0,0,2,0,2,0,0,0
KAM3417466.1,46,17,27,0,0,0,0,0,0,0,0,2,0,2,0
KAM3417468.1,775,503,712,2,8,6,3,0,2,0,2,8,5,6,6
KAM3417469.1,235,214,220,0,0,6,0,0,2,0,2,5,7,5,7
KAM3417470.1,1340,1034,1246,6,4,6,3,8,6,4,12,12,16,11,19
KAM3417471.1,752,808,720,0,6,6,2,2,8,4,0,10,12,5,14
KAM3417472.1,179,205,468,0,4,6,8,14,8,8,2,4,26,16,29
KAM3417473.1,38,48,58,0,0,0,0,2,0,0,0,0,0,2,4
KAM3417474.1,1098,1390,1075,4,4,0,0,4,0,0,2,0,6,0,0
KAM3417475.1,84,72,69,0,0,0,0,0,0,0,0,2,0,0,0
KAM3417476.1,904,978,1046,4,0,0,0,2,0,8,4,5,9,8,2
KAM3417477.1,24,16,31,0,0,0,0,0,0,0,0,0,0,1,3
KAM3417478.1,142,52,113,0,0,0,10,6,4,10,2,6,9,24,12
KAM3417479.1,338,245,269,2,0,0,5,3,2,4,0,2,3,6,9
KAM3417480.1,1235,1181,891,0,6,0,4,2,2,2,0,6,12,10,28
KAM3417481.1,1110,1046,1439,6,6,6,8,6,6,9,6,0,14,8,14
KAM3417482.1,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417483.1,582,466,684,8,0,0,2,0,0,2,4,3,8,2,7
KAM3417484.1,1795,1365,2457,2,8,0,6,5,6,6,13,22,6,6,14
KAM3417485.1,59,53,33,0,0,0,0,0,0,0,2,0,0,1,0
KAM3417486.1,1315,1057,1002,8,16,3,7,6,2,2,6,2,6,15,14
KAM3417487.1,1547,2002,1648,21,28,30,4,12,12,6,12,35,35,24,34
KAM3417488.1,1102,1171,1234,4,0,6,4,12,4,5,10,16,10,12,9
KAM3417489.1,419,434,301,0,0,12,2,3,0,0,3,13,2,0,2
KAM3417490.1,491,411,771,0,0,0,0,0,1,2,0,5,0,2,2
KAM3417492.1,1925,2349,2176,10,16,6,6,8,8,4,10,10,4,10,14
KAM3417493.1,429,398,534,0,4,0,9,1,2,4,5,2,18,6,6
KAM3417494.1,484,307,429,0,0,0,4,6,0,0,2,6,0,0,0
KAM3417495.1,34,9,89,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417497.1,3093,1787,2006,2,4,12,2,6,10,10,0,24,14,18,16
KAM3417498.1,320,263,271,0,10,0,1,0,2,0,1,0,2,3,2
