Geneid,CZ_in vitro_1,CZ_in vitro_2,CZ_in vitro_3,CZ_0dpi_1,CZ_0dpi_2,CZ_0dpi_3,CZ_1dpi_1,CZ_1dpi_2,CZ_1dpi_3,CZ_3dpi_1,CZ_3dpi_2,CZ_3dpi_3,CZ_6dpi_1,CZ_6dpi_2,CZ_6dpi_3
KAM3422400.1,22.311053,17.522611,28.932648,0,0,0,114.188491,66.09125,62.538324,99.74724,68.246249,55.764393,12.981746,61.924075,38.032626
KAM3422401.1,1.580775,2.105767,2.582311,0,0,0,30.224412,8.996715,10.641338,2.828783,0,4.217203,0,7.024546,2.157173
KAM3422403.1,19.574312,20.200255,19.680162,0,150.645601,44.060589,19.40458,13.477431,31.882283,25.425767,23.194804,9.476302,66.181451,50.510618,72.709431
KAM3422404.1,72.521398,66.846689,51.84898,107.229532,104.387577,73.274675,75.298208,168.101657,88.369371,109.23407,61.075447,65.664593,67.871955,52.500846,103.452875
KAM3422405.1,26.77615,32.081631,25.273056,52.910254,0,0,58.385462,40.551563,155.884614,38.251154,52.342256,42.769151,9.956501,42.744052,65.631522
KAM3422406.1,0.340094,0.700219,0,0,0,0,0,0,0,0,0,28.428906,19.854435,37.882964,14.541886
KAM3422407.1,6.817927,3.981519,30.846674,0,0,0,0,0,0,0,0,0,3454.859035,1382.192092,2075.648478
KAM3422408.1,13.893772,14.533613,31.543229,17.380403,0,87.096512,28.768418,26.641434,31.511559,12.565059,45.850193,70.245844,19.62357,0,9.581863
KAM3422409.1,14.214601,16.232347,26.832289,55.703653,59.650044,69.785404,46.100944,64.038727,0,90.608906,165.317,157.595024,52.410776,35.000564,23.03218
KAM3422410.1,197.774241,188.051215,298.651538,65.943295,47.07675,110.151471,194.045802,67.387157,119.558561,190.693254,289.935044,142.144532,66.181451,15.784568,54.532073
KAM3422411.1,44.26489,52.18758,49.38563,29.745566,63.705851,37.265174,16.411834,34.196468,53.93023,43.00876,44.139365,56.10348,33.584617,13.350132,16.39881
KAM3422412.1,380.496606,265.529543,311.601014,143.78017,38.491612,180.127456,19.832336,27.549058,32.585099,0,77.044863,38.740794,74.404397,38.718059,34.679047
KAM3422413.1,5.252056,4.752714,5.173651,0,0,50.610136,0,15.480833,0,14.602637,13.32134,10.884942,22.80577,0,0
KAM3422414.1,51.670353,46.568364,55.861084,77.714802,0,58.416552,17.151362,35.737383,0,44.946763,51.253682,92.135277,128.692526,69.75849,62.124349
KAM3422415.1,11.141629,8.792522,8.299398,0,0,0,103.086832,0,0,0,0,0,35.158896,0,0
KAM3422416.1,6.775315,6.939068,8.257943,16.168789,0,40.51244,8.920976,37.176328,17.100323,48.704707,24.881445,36.304943,5.070995,8.708073,14.11367
KAM3422417.1,54.074982,24.316693,75.961369,0,0,0,174.641221,363.890646,143.470273,514.871785,1182.93498,1037.655081,238.253223,198.885559,130.876976
KAM3422418.1,7.702665,9.994439,9.259847,28.561427,61.16979,143.126753,47.27549,87.560382,0,82.593256,9.418272,30.782892,53.746083,15.382414,39.364979
KAM3422419.1,2.130812,1.72826,2.618605,0,0,0,24.315322,16.888182,39.950772,0,0,23.748964,20.732518,11.867513,12.148013
KAM3422420.1,4.577102,3.15629,5.518561,0,0,0,0,0,0,0,0,40.274284,0,6.708441,5.150251
KAM3422421.1,97.245502,92.948469,106.017896,121.193083,207.646639,242.928651,53.493707,37.154,285.648022,140.185311,143.870471,117.557369,182.446162,208.868232,143.650255
KAM3422422.1,464.446918,788.766586,550.942883,1059.710195,840.582676,1278.431958,64.965006,45.121378,35.579791,42.561733,12.942396,42.301217,84.935275,21.138196,183.921449
KAM3422423.1,0.681334,1.202396,1.881328,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422424.1,0.12045,0,0.194012,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422425.1,8.700276,9.971938,17.893991,0,0,0,40.89395,14.201426,16.797484,40.187421,36.661208,29.956079,13.947331,0,10.215375
KAM3422426.1,1.954344,1.493681,3.526827,0,0,0,0,0,22.901358,0,8.330528,0,0,0,0
KAM3422427.1,1271.272229,1458.683304,1348.496905,474.791725,790.889406,132.181766,407.496183,121.296882,143.470273,190.693254,260.94154,298.503517,456.65201,312.53445,341.734326
KAM3422428.1,98.12991,119.773376,88.198431,223.698797,43.554,152.863267,112.203355,132.482233,101.394335,183.774678,93.883729,71.233427,202.821385,164.288363,117.720031
KAM3422429.1,47.903384,63.01361,58.271648,42.91047,275.703074,0,47.350889,0,77.798872,62.043738,28.29988,184.991926,24.224311,92.441682,47.313314
KAM3422430.1,75.552878,75.936619,72.405752,21.981098,47.07675,275.378679,72.767176,168.467892,219.190695,63.564418,14.496752,112.531088,215.089715,181.522534,151.477982
KAM3422431.1,156.210153,183.566424,128.312921,89.821068,59.19049,190.431357,15.248591,68.840809,50.107748,34.965327,41.010843,74.467089,33.804547,24.807796,17.141052
KAM3422432.1,191.057513,218.946171,278.867073,63.156959,135.262776,197.80722,69.692506,0,57.253395,0,20.82632,34.034606,59.423486,62.36016,34.818601
KAM3422434.1,27.585421,28.716048,28.674876,175.848787,0,146.868629,0,0,53.137138,42.376279,19.329003,78.969184,77.211693,21.046091,72.709431
KAM3422435.1,1.660064,0.771438,2.76611,0,0,200.235744,0,20.416307,0,38.516261,17.568341,57.420761,0,0,0
KAM3422437.1,135.680098,81.125423,152.640064,90.28478,257.816297,452.434232,199.255085,46.130805,163.690916,413.38202,59.543707,243.267487,430.401515,140.472063,157.618431
KAM3422439.1,8.456914,4.292098,14.363976,18.920439,0,189.62785,41.756691,87.006202,68.607444,191.497867,87.34752,71.372149,0,74.726943,20.861778
KAM3422440.1,27.302009,16.193139,32.429044,97.481393,0,0,53.784434,0,58.912914,117.45599,107.149908,122.573908,18.343772,11.666855,44.784795
