Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2207396,212,196,304,0,2,1,0,0,0,0,0,1,5,8,9
KAF2207397,129,143,283,0,0,2,0,0,0,0,0,1,6,17,4
KAF2207398,523,454,280,0,0,0,0,0,0,0,0,0,0,0,1
KAF2207399,615,493,697,0,0,0,0,0,0,11,0,6,23,42,18
KAF2207400,298,307,466,0,1,1,0,0,0,5,0,0,4,15,0
KAF2207401,2034,1645,1326,0,0,0,0,0,2,6,0,2,16,31,14
KAF2207402,4237,3361,2736,0,0,2,2,0,1,16,4,10,27,35,15
KAF2207403,847,725,1325,3,4,2,4,0,0,37,6,18,36,88,24
KAF2207404,921,805,652,0,1,0,0,2,1,6,1,2,34,68,17
KAF2207405,7448,6456,3733,2,2,0,0,2,2,22,11,4,105,223,72
KAF2207406,8607,7125,5928,2,1,0,3,0,1,21,3,18,93,173,101
KAF2207407,32,24,28,0,0,0,0,0,0,0,0,0,0,4,2
KAF2207408,9,12,30,0,0,0,0,0,0,0,0,0,1,2,4
KAF2207409,463,574,2256,0,0,0,2,0,2,4,0,2,0,10,4
KAF2207410,79,52,140,0,0,0,0,0,0,0,3,0,6,28,6
KAF2207411,2550,2336,3034,0,2,4,4,0,8,8,4,2,19,42,8
KAF2207412,1378,1273,2863,0,0,0,2,1,2,7,4,4,30,54,15
KAF2207413,3078,2597,2122,2,1,0,2,0,6,12,8,13,46,127,58
KAF2207226,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207227,509,590,887,0,2,0,0,0,0,4,0,2,7,16,8
KAF2207228,24278,26518,39014,0,0,3,0,3,10,4,2,4,68,102,104
KAF2207229,725,537,549,2,4,0,2,0,0,8,0,4,6,24,8
KAF2207230,57,30,21,0,0,0,0,0,0,1,0,0,0,2,0
KAF2207231,762,706,405,0,0,0,0,0,0,3,0,0,2,6,4
EFT00053797906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFT00053797908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
