Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2211243,18.849396,22.91769,39.825359,0,0,207.080496,0,0,0,51.450751,26.888976,0,74.666722,68.776311,80.416397
KAF2211244,162.724041,141.505604,106.072547,169.263851,0,160.305735,0,0,0,86.296599,0,0,91.148066,72.032362,101.447976
KAF2211245,4.794178,4.304557,10.301082,0,0,0,0,0,83.131407,19.640027,0,26.076458,3.288708,9.265985,18.759236
KAF2211246,3.560807,2.60446,5.927718,0,0,0,0,0,0,0,0,33.80891,21.319545,22.024982,22.110829
KAF2211247,3.910532,3.087343,4.76158,100.109359,0,0,0,132.755052,132.945558,31.408759,73.866215,41.70204,28.926557,60.508321,38.182047
KAF2211248,4.133654,4.944731,13.401133,0,0,0,0,0,0,0,0,0,19.684356,16.946406,13.609967
KAF2211249,3.63294,5.245422,7.927579,0,0,0,0,0,0,14.518078,0,0,9.724166,13.698992,0
KAF2211250,3.658873,4.402387,8.064477,0,0,0,0,0,0,16.571273,0,0,7.399594,6.080802,0
KAF2211251,4.128983,4.037126,9.861753,0,0,0,0,0,0,16.340184,25.618917,0,32.833825,28.26688,19.863939
KAF2211252,12.083791,14.072965,18.390996,0,0,0,70.305926,0,0,39.8292,83.261479,0,35.569977,65.768678,46.112716
KAF2211253,47.607053,64.372758,72.522132,0,0,0,78.146258,374.238191,312.31269,295.138981,266.071416,333.082659,243.397485,187.399032,197.332078
KAF2211254,56.667292,44.978502,22.782215,0,0,0,0,174.964351,438.038568,155.231752,162.253138,82.441726,207.947558,201.808392,301.931879
KAF2211255,28.55853,24.781236,37.505137,97.639869,139.781452,0,162.223921,0,0,107.218895,252.154307,122.020012,96.180678,70.457527,126.350593
KAF2211256,2.96568,2.589918,4.370751,0,0,0,0,0,0,19.497708,0,51.774997,0,6.13256,0
KAF2211257,24.183062,19.073007,8.733591,121.073437,0,0,0,0,40.19648,28.489592,44.667334,0,6.360749,24.642068,11.544454
KAF2211258,108.653305,95.425068,60.585806,43.730491,250.418669,41.416099,72.656096,0,116.14847,34.300501,43.022362,63.758049,45.948752,72.821976,48.845515
KAF2211259,72.100453,74.253975,83.232543,0,192.169109,0,74.340875,0,29.710442,31.586287,22.009991,93.194995,25.857827,23.181076,43.883267
KAF2211260,13.62793,13.450863,15.11235,0,0,0,0,61.143456,0,7.233021,0,28.810281,18.167461,10.237418,6.280585
KAF2211261,2.769662,2.624329,6.975803,0,0,0,0,0,0,0,0,0,9.452162,0,14.704475
KAF2211262,43.059135,38.109831,44.388084,0,0,196.957624,0,0,39.45382,16.311882,21.921036,0,31.99655,27.484986,28.327904
KAF2211263,10.305203,12.702149,15.688262,0,0,0,0,0,40.967636,145.180776,197.271801,424.070749,108.586525,57.840187,78.999819
KAF2211264,5.736252,4.228633,3.470326,0,0,0,0,0,0,0,0,0,18.381584,5.179039,15.25106
KAF2211265,3.741137,2.26869,2.23513,0,0,0,0,0,0,22.8742,0,0,5.107024,4.796372,0
KAF2211266,26.44208,35.556523,69.07932,171.838923,164.003321,162.744524,0,0,0,6.739189,0,0,8.275464,6.358975,7.802374
KAF2211267,22.612801,20.669239,27.202179,0,0,0,58.316512,0,93.225125,16.518522,69.062727,14.621316,17.518092,19.050257,14.343382
KAF2211268,27.324118,27.328685,33.221689,0,0,84.900598,0,118.878218,0,21.09421,44.096672,0,23.548068,44.231355,47.623028
KAF2211269,504.342696,510.900791,413.148372,972.094662,278.330573,1104.777056,646.035314,2062.552047,1678.228369,1441.074619,1243.259561,951.6101,1961.097374,1942.530806,1922.656355
KAF2211270,1249.601014,1256.528666,2097.537875,3475.968048,5550.380871,4515.956944,1999.091376,2718.412636,2041.735198,2313.95692,2005.77479,3053.723404,1445.697768,1442.961763,1155.778497
KAF2211271,0.876699,0.279225,0.845782,0,0,0,0,0,0,0,0,0,3.519946,0,0
KAF2211272,1.385001,1.499801,2.177537,0,0,0,0,125.587908,0,0,0,39.450642,17.414013,0,5.160098
KAF2211273,9.721515,10.488319,8.182779,187.113494,133.936046,0,0,0,0,29.352913,46.02089,0,19.660496,10.386326,30.585307
KAF2211274,476.118992,512.609763,475.849689,274.433124,0,324.88629,113.989342,0,0,188.34786,202.491916,85.739395,84.703972,109.17183,106.53882
KAF2211275,132.452726,145.560453,105.570321,277.641425,0,105.179015,184.515122,0,0,43.554233,27.314557,115.655659,78.765748,60.275563,81.689175
KAF2211276,184.044929,207.74377,483.328338,0,0,0,935.068821,0,213.543802,315.314497,237.295214,234.443658,168.957391,122.976989,179.609031
KAF2211277,77.763337,69.128061,54.695887,0,0,0,0,0,416.670833,574.231279,308.676701,522.80119,274.727465,162.550229,216.542317
KAF2211278,8.272175,7.261277,13.459104,0,0,0,0,0,72.082296,76.633397,26.699883,67.8318,57.032031,36.824469,35.489281
KAF2211279,25.538265,20.469767,10.51469,0,191.337208,126.579074,111.02858,177.236615,0,5.241592,65.744129,0,36.863431,37.918334,9.10277
KAF2211280,7.607283,8.237833,8.543875,0,0,0,0,0,0,39.375859,30.86767,0,16.483648,19.351218,30.771803
KAF2211281,15.001516,16.421213,36.005499,0,0,0,0,0,93.608242,55.288021,34.673273,146.814033,79.618277,73.905747,38.406208
KAF2211282,934.16779,1008.488036,885.914448,0,909.442285,300.820639,0,421.210475,843.629835,622.843451,624.97505,661.569407,329.571207,403.556507,579.767783
KAF2211283,51.929288,53.203383,80.060387,0,0,0,0,0,0,54.837304,68.781222,0,77.132722,55.193038,72.376916
KAF2211284,40.251569,34.58194,30.577363,42.455619,60.779559,0,0,0,0,19.980325,0,13.264139,17.28607,18.853068,11.566226
KAF2211285,28.491043,26.78782,53.378822,0,104.985499,69.453126,243.682679,0,194.776295,97.784942,54.110073,15.274239,53.937941,66.939585,56.938799
